,id,text,label
13766,17837,"ANDERSEN LOSES BUSINESS -- Clients of Arthur Andersen are asking questions about its role in Enron's collapse, and the firm is losing business as a result. BUSINESS DAY, PAGE C1",13
18321,23843,"The founder of Pakistan's nuclear weapons program, Abdul Qadeer Khan, has signed a detailed confession admitting that during the last 15 years he provided Iran, North Korea and Libya with the designs and technology to produce the fuel for nuclear weapons, according to a senior Pakistani official and three Pakistani journalists who attended a special government briefing here on Sunday night.",14
6047,7837,"The sharp stock market selloff is likely to ripple through policy and politics, putting more pressure on the Federal Reserve to cut interest rates and threatening the air of prosperity that has been the foundation of President Clinton's political support, analysts and Government officials said today.",0
6762,8688,"A few months ago, Patrick J. Coughlin, a San Diego lawyer involved in a lawsuit against R. J. Reynolds, was thinking of asking for a $50 million fee for his firm, in a case that the cigarette maker had settled for $10 million.",2
25506,3746,"In a small military courtroom, with lawyers and jurors dressed in crisp uniforms, an explosive court-martial is exposing the tension between sex and power that has come with the sexual integration of the American military.",14
8426,10774,"No more fun and games: As children across the nation head back to school this fall, many are encountering a harsher atmosphere in which states set specific academic standards and impose real penalties on those who do not meet them.",5
12731,16615,"CHEMMANI CHECKPOINT, Sri Lanka — The bones of 15 people, most bearing marks of blunt trauma, have been unearthed from hidden graves around this desolate military checkpoint, where soldiers fighting local rebels had beaten the victims to death and buried them.",17
13776,17847,"President Bush decided to lump Iran and North Korea with Iraq as members of an ''axis of evil'' whose support for terrorism seeks to acquire and spread weapons of mass destruction, officials said today, despite the fact that the two nations have sporadically sought improved relations with the United States.",14
12347,16104,"In late January, in the final days of the Clinton administration, the White House told the Justice Department that it was considering a presidential pardon for Rosario Gambino, a convicted heroin trafficker and reputed organized crime figure.",18
11154,14634,"Renee Chelian was worried about her business. With competitors charging lower prices, she needed something special to draw customers. So she created an almost a spa-like atmosphere at her offices, with low light in the rooms, aromatherapy, candles and relaxing music.",1
27124,16123,"The image of Slobodan Milosevic being flown to jail inspired pity in Natasa Popovic, a young woman who works at a newsstand in Mr. Milosevic's hometown, Pozarevac. She also said she believed that it was Serbs who should judge Mr. Milosevic for any war crimes, not an international tribunal in the Netherlands.",17
2852,4007,"Talks on Zaire's crisis collapsed yesterday when the rebel leader, Laurent Kabila, refused to meet with President Mobutu Sese Seko. That set the stage for an armed takeover of the capital, Kinshasa.",17
414,688,"In 1992, more than 23,000 American women learned that they had tiny tumors in the milk ducts of their breasts that might, or might not, develop into invasive, life-threatening breast cancers. Almost half of them had breasts removed (mastectomies) to avoid any chance of cancer.",2
1281,1826,"When Speaker Newt Gingrich made his first appearance before the Republican National Convention tonight, the first words out of his mouth were about beach volleyball. This new Olympic sport, Mr. Gingrich said, ''is an example of what freedom is all about.''",18
25924,8580,Republicans on the House Judiciary Committee took renewed interest today in President Clinton's 1996 campaign finances and planned to subpoena the F.B.I. director and the Justice Department's former senior prosecutor for campaign finance abuses.,18
3516,4805,Jerry Roemer was supposed to be the new face of AIDS.,2
16531,21372,"Starting today, the suggested Sunday newsstand price of The Times in the New York region increases to $3.50. The price for the Monday through Saturday papers, and for home delivery when provided directly by The Times, will not change.",20
281,448,"Denouncing the downing of two private American planes by Cuba as ""a flagrant violation of international law,"" President Clinton today suspended all air charter travel between the United States and the island and pledged to reach agreement with Congress on a pending bill to tighten economic sanctions.",17
19615,25385,"For a nation divided over his stewardship, distressed about the economy and dubious about the war with Iraq, President Bush had one overriding message last night: He's still the one.",18
1935,2819,"Banking on a vibrant economy, states once reluctant to change their welfare systems are devising ambitious ways to push aid recipients into the jobs at the heart of the new welfare law.",11
9360,12059,"As anonymous assaults on major Web sites continued yesterday, computer vandals crippled a large online brokerage operation and a media site. The Justice Department pledged to find those responsible, but computer experts questioned whether any defenses could easily be deployed against the attacks.",3
8293,10598,"Markets surged after the Government released a report that showed a modest increase in prices at the wholesale level in July, easing investor concerns about inflation. The Labor Department said the Producer Price Index rose two-tenths of 1 percent in July as the first decline in food prices since April blunted the effect of a surge in energy prices. The increase was below analysts' forecasts and when the volatile food and energy components were excluded, prices were unchanged.",0
30180,18147,"Hewlett-Packard's plan to buy Compaq Computer, a plan fiercely and publicly opposed by heirs of Hewlett-Packard's founders, received sorely needed support yesterday when an influential investor advisory firm recommended that shareholders vote in favor of the deal.",13
6033,7822,"President Clinton plans to depart for Moscow on Monday hoping to repair his scandal-stained image while offering comfort -- but no aid -- for the wounded President of Russia, Boris N. Yeltsin.",17
6633,8513,"A week after threatening rapid and unannounced military action if Iraq failed to cooperate fully with arms inspections, the Clinton Administration has adopted a more cautious policy.",14
26163,10499,"Former Senator Bill Bradley's Presidential campaign headquarters in Iowa, which he opened here this week, is a dark, spartan affair whose only adornments are a few stray basketballs signed by the former star of the New York Knicks. The rent: $250 a month.",18
2543,3617,"The Democratic National Committee is in its most precarious financial position in decades, facing debts of $14.4 million and projected legal bills of $4 million in the next year alone, party officials said today.",18
1261,1794,"In a ruling that goes to the basic philosophy of affirmative action, a Federal appeals court declared yesterday that a school district facing layoffs should not have used race as the sole reason to lay off a white teacher.",1
12931,16831,"President Vladimir V. Putin tonight offered the United States broad support for antiterrorist operations in Afghanistan, including opening Russian airspace to relief missions, taking part in some search-and-rescue operations, and arming anti-Taliban forces inside Afghanistan.",17
17312,22521,"A suicide bomber drove a gleaming new cement mixer full of explosives into the side of the United Nations compound here today and blew it up, killing 17 people and wounding at least 100 in an attack on one of the principal agencies in charge of rebuilding Iraq.",14
1792,2598,"The river of refugees returning to Rwanda dwindled to a trickle today, but another half-million remained cut off from international aid, somewhere in the hills and valleys around Bukavu in the south.",17
9864,12757,"Jon S. Corzine, a former co-chairman of Goldman, Sachs & Company who is seeking the Democratic nomination for a seat in the United States Senate, says he cannot disclose his financial records because his old firm will not let him. But his opponent, Jim Florio, is making political hay out of the refusal, calling it a convenient dodge.",18
87,176,"Russia's humiliation at the hands of Chechen guerrillas deepened further today, when the leader of the hostage raid of the last 10 days emerged from seclusion to ridicule his enemies and promise that the fight would continue.",17
18928,24558,"Jilted lovers, disgruntled former employees, prying neighbors -- Charles A. Mormilo takes the anonymous tips where he can. But in his tireless pursuit of those stealing from the giant New York utility Consolidated Edison, Mr. Mormilo, its top inspector, is up against a city that prides itself on its scrappy ingenuity.",7
12947,16847,"Two weeks after the devastating attacks on the World Trade Center and the Pentagon, the question of the hour here is this: Does the Bush administration have a well-defined plan of action in what it calls the war on terrorism, or is it groping its way toward a plan?",14
24443,30702,"ATLANTA, Nov. 6 - Since Aug. 10, when a ban on most carry-on liquids sent the amount of checked luggage soaring, airlines have been misplacing many more bags, and the fumbling could well escalate during the busy holiday travel season.",9
25620,5031,"As Henri Paul was buried in France, his family and friends were still puzzled by official reports that he had been drinking heavily and had taken antidepressant drugs just before the car crash that killed Diana, Princess of Wales, three weeks ago.",17
26385,11829,"Responding to European pressure and hoping to end a civil conflict that has shaken this country for 15 years, Turkish leaders decided today to postpone the execution of the country's most prominent Kurdish rebel.",17
3316,4591,One former Republican national chairman contradicted another today as Richard Richards told the Senate campaign finance inquiry that Haley Barbour had stressed an urgent need for a $2.1 million foreign loan guarantee to ''free up'' funds for Republican candidates in their successful 1994 campaign to take control of Congress.,18
7758,9875,"For all his devotion to Elizabeth Dole, and for all the blessings he offers her campaign for President, Bob Dole is nobody's compliant, stick-with-the-script, gaze-lovingly-at-your-mate political spouse.",18
16318,21087,"During Columbia's liftoff, not one but three chunks of debris flew off the 15-story external fuel tank and hit the shuttle's left wing, according to a document NASA made public yesterday. Previously, the public inquiry into what caused the craft to break up on re-entry focused only on the largest chunk.",15
5604,7298,"A secret encoded circuit board containing sensitive technology was missing from the wreckage of an American satellite aboard a Chinese rocket that exploded in 1996, and American officials said today that they suspected that the Chinese authorities took it.",14
546,846,"A legal group founded by the National Rifle Association gave $20,000 for the defense of Bernhard H. Goetz, who is being sued by a man who was left paralyzed after Mr. Goetz shot him in a Manhattan subway 12 years ago.",10
3837,5245,"The Stockholm of America, this city of lutefisk and liberals has long boasted a tradition of generous social programs and enlightened views on American race relations. But for all the proudly progressive attitudes, only a tiny percentage of blacks actually lived in Minnesota, a place where a mixed-marriage once meant the union of a Swede and a Norwegian.",1
5737,7450,"Two years after the Bay of Pigs invasion ended in ignominious failure on the beaches of Cuba, two young Cuban exiles stood next to each other in the spring sun at Fort Benning, Ga., training for the next march on Havana.",17
1027,1512,"In a test of wills between the Giuliani administration and would-be pyrotechnists, hundreds of police officers fanned out across the city yesterday to enforce a ""zero tolerance"" policy against illegal fireworks, bringing an unusual Fourth of July quiet to many areas and transforming one Queens neighborhood into an armed camp to prevent an annual fireworks display.",20
9583,12362,"Just two years ago, the National Basketball Association was a very hot sports attraction on network television, the ratings for its playoff finals at times eclipsing those for baseball's World Series.",20
13081,16992,"As fear of anthrax continues to rise and demand for the antibiotic Cipro skyrockets, the German company that makes the drug in the United States has only begun to increase its production and will probably take several months to produce the drug in the quantities the government wants.",2
23769,29914,Correction Appended,20
4942,6510,"Senator Alfonse M. D'Amato wears a pink ribbon on his lapel these days, a reminder of his concern about breast cancer. He denounces abuses by health maintenance organizations and banks. He backs spending for mass transit and lines up with environmentalists. And he preaches tolerance, standing up for the right of immigrants to get food stamps one day and urging an end to the military's ban on declared homosexuals the next.",18
9156,11781,"Confronted with fierce rebel resistance, rising casualties and bad weather, the Russian military announced today that it was suspending its assault on the Chechen capital, Grozny.",17
5266,6916,"In the early 1990's, Colombia's drug barons were fed up and eager to rearrange their business. Impatient with the Mexican traffickers who were demanding half of every load delivered and distributed in the United States, they went looking for a country with weak law enforcement, proximity to the United States and established drug distribution networks.",17
17973,23397,"It is a quiet Sunday morning in early fall on Franklin Street in Concord, N.H., and Joe Lieberman is being his indefatigably genial self, campaigning door to door -- listening intently to voters, nodding thoughtfully while a herd of flowerbed-trampling reporters and factotums snorts and stamps on his tail.",18
30068,16784,"The Palestinian leader Yasir Arafat instructed his security forces today to hold their fire even in self-defense, and Israel then said it would refrain from any offensive action, pulling its tanks and troops out of Palestinian-controlled territory. The moves could set the stage for the first truce talks here since midsummer.",17
25746,6681,Year Zero began 23 years ago this week when the Communist Khmer Rouge guerrillas marched into Phnom Penh in their black shirts and rubber sandals and launched one of the world's most terrifying attempts at utopia.,17
20873,26737,"BAGHDAD, Iraq, March 23 - Iraqi and American forces killed at least 80 insurgents on Tuesday in a fierce battle during a morning raid on what appeared to be the largest guerrilla training camp to be discovered in the war, Iraqi officials said Wednesday. Seven Iraqi policemen were killed and six wounded.",14
18290,23808,"Stalin imprisoned people here, exploiting their labor to build an industry in icy isolation. His Soviet successors enticed them here with higher salaries and ideological cant to conquer the forbidding Arctic.",17
6566,8440,"The United States had prepared to begin a huge campaign of air strikes on Iraq today, but called off the attack after a last-minute flurry of diplomatic activity brought an Iraqi announcement that it would allow United Nations weapons inspectors to resume their work, Clinton Administration officials said.",14
7490,9505,"NATO opened its expanded bombing campaign against Yugoslavia today, and alliance officials said they were planning weeks of air strikes intended to undermine President Slobodan Milosevic's hold on power.",14
27075,15632,"In a case that took 38 years to bring to trial, a Birmingham jury of eight whites and four blacks spent barely two hours in deliberations today before convicting Thomas E. Blanton Jr. of murdering four black girls in the 1963 bombing of the 16th Street Baptist Church, one of the most horrific attacks of the civil rights era.",1
2012,2911,"Encouraged by continued growth in financial markets, the number of American households investing in mutual funds has risen by more than 20 percent in the last two years, recent research shows.",13
4622,6148,"For a young White House intern eager to get a closer look at the President of the United States, the week of Nov. 13, 1995, was a dream come true. A budget impasse in Congress had forced a shutdown of the Government, and thousands of Federal employees deemed ''nonessential'' were ordered to stay home. In the White House, unpaid interns eagerly took their places.",18
27669,20678,"President Bush could propose as much as $600 billion in tax cuts and new spending measures over the next 10 years, an economic stimulus package nearly twice as big as even Republican lawmakers had been expecting, administration officials said today.",0
5641,7347,"His hometown is marking the first anniversary of its return to China on July 1, but Loon Wai-ting is in no mood to celebrate. Mr. Loon has spent the year without a job. On a recent sauna-like afternoon, in the teeming neighborhood of Mong Kok, he stood before a government labor office, fruitlessly searching a bulletin board for job listings.",17
23015,29036,Correction Appended,17
25347,2883,"House Republican leaders went to the television talk shows today to rally behind Speaker Newt Gingrich, arguing that his confessed ethics lapses were minor matters that should not bar his re-election as Speaker.",18
4644,6171,"Illegal campaign contributions to the Democratic National Committee in the 1996 election originated in bank accounts in ''the greater China area,'' according to the final report of Republican senators investigating campaign finance abuses.",18
24008,30166,"HADITHA DAM, Iraq — One by one, the marines took the stage for one of the most coveted photo opportunities of the war. Tanea sat on a knee of an eager marine while Laurie rested on the other.",14
11145,14624,"Wang Shuxian, a former farmer who now drives a Cadillac, built his successful textile company with money from friends and family. As a private businessman, he could never sell shares on the country's state-run stock markets. Now he can, in a change signaling that China's economy is preparing to take a sudden turn.",17
13688,17734,"Townspeople looked on in shock and grief this morning as the failed law student known on campus as Peter O. was led into the Buchanan County courtroom, shuffling in chains and hiding his face from television cameras, to face murder charges in the bloodiest shooting this remote Appalachian coal town has ever suffered.",12
10895,14302,"Naturally, said Ngo Van Ha, the words ''America'' and ''war'' pop into the mind together. But that belongs to the history books. For him, as for many other Vietnamese, ''talking about America means talking about freedom.''",17
27987,22399,"A group of Episcopal leaders approved the selection of the denomination's first openly gay bishop tonight, but those opposed to the choice said it would fracture the church and swiftly called on bishops to block approval when they make the final decision on Monday.",20
1662,2431,"After criticism, the Democratic Party made public an accounting of its contributions for the first two weeks of October. Page A18.",18
19953,25767,"A videotape made by a television crew with American troops when they opened bunkers at a sprawling Iraqi munitions complex south of Baghdad shows a huge supply of explosives still there nine days after the fall of Saddam Hussein, apparently including some sealed earlier by the International Atomic Energy Agency.",14
6504,8359,"Metropolitan news, aside from election coverage, begins today on page D1, with a second part starting on page D13. SportsThursday begins on page D5.",20
10443,13719,"Kate Shanley and Humberto Lopez met in a nightclub with starfish on the walls and a pulsing Latin beat in the air. They caught each other's eye immediately -- she of the long blond hair, white pants and rabbit fur top; he of the orange shirt and handsome dark looks.",20
3324,4600,"By society's measure, he emerged black from the gene pool, a peculiar arithmetic that Ward Connerly insists he has never understood.",1
8382,10714,"A bit nervous, Haruo Saito faced his doctor. Mr. Saito, 78, short of breath and slow moving since his stroke a few years ago, had just had his blood pressure and electrocardiogram taken, and now he explained that he had been dizzy lately.",17
27206,17270,"President Bush reached out to the nation's most prominent Democratic political family today in a ceremony to name the Justice Department headquarters in honor of Robert F. Kennedy, who has become an unlikely hero to the current administration.",18
4199,5689,"Microsoft was ordered to separate, at least temporarily, its Internet browser software from its industry-dominating Windows operating system. The order, issued by a Federal judge, is a setback for Microsoft in its long-running antitrust battle with the Justice Department.",13
4314,5821,"After years dominated by Federal budget deficits, the capital faces a new quandary: how to deal with the prospect of surpluses.",0
18234,23745,"He burst into the ballroom, fists thrust in the air, and slapped a string of high-fives with the dozens of labor union members standing onstage. He grabbed hold of Senator Tom Harkin of Iowa and yanked his hand up, too. He whipped off his suit coat and rolled his sleeves up as far as they would go.",18
8154,10408,Republican leaders in the House scrambled today to head off a revolt by party moderates and avert a humiliating defeat on their signature issue of tax cuts.,0
5095,6712,"Pol Pot, who turned Cambodia into a slaughterhouse in the 1970's, causing the deaths of more than a million people, died on Wednesday of a heart attack in his jungle hideout, Thai military and Khmer Rouge sources said today.",17
29690,12538,"Shots explode at a school in Oregon, a brokerage office in Atlanta, or a church in Fort Worth, and the nation is witness to another sudden, seemingly random violent rampage. Before the ambulances leave, the news crews arrive. The killers' neighbors, friends or families submit to interviews, and inevitably, they say something like this: ''He just snapped.''",10
29806,13858,,18
19356,25070,Master Sgt. Thomas R. Thigpen was 52 when he fell dead of a heart attack during a touch-football game in Kuwait on March 16 -- a casualty that does not quite fit the standard template of wartime tragedy: the fresh-faced 18-year-old cut down with the promise of a full life ahead.,14
16573,21466,The Bush administration's plan to pour large amounts of food and medical supplies into Iraq quickly appeared in danger of breaking down today as aid agencies took the unusual step of appealing to the military for help.,14
15204,19586,"Vice President Dick Cheney today presented the administration's most forceful and comprehensive rationale yet for attacking Iraq, warning that Saddam Hussein would ''fairly soon'' have nuclear weapons.",14
2714,3855,"Grappling with the thorny issue of how to educate a growing population of immigrant students, New York State's Education Commissioner is proposing that the state's college-preparatory Regents exams be translated into four foreign languages for the first time.",5
1904,2788,"United States intelligence officials and prosecutors had already concluded that a former commander in El Salvador's leftist guerrilla army was involved in the killing of six Americans when the Government brought him to the United States in 1990 and paid him thousands of dollars to inform on the rebels, Federal investigators have determined.",8
17754,23089,"The raging California wildfires attacked the resort area of Lake Arrowhead east of Los Angeles and the historic gold-mining town of Julian in San Diego County on Wednesday, killing one firefighter and destroying hundreds more homes.",20
16636,21533,"Mr. al-Masawi, a 43-year-old jeweler, came back to the place of his torture.",14
14084,18231,"Longtime clients, the federal government and even some of its own foreign affiliates abandoned Arthur Andersen yesterday, a day after the accounting firm was indicted for destroying Enron documents.",10
19957,25771,"The Metropolitan Opera yesterday named Peter Gelb, a record company executive who was once an usher at the Met and went on to manage the career of Vladimir Horowitz, as its next impresario.",20
17338,22548,President Bush ordered the Treasury Department today to block and freeze the assets of six top leaders of the militant Palestinian group Hamas and five charities based outside the United States that administration officials said help finance Hamas.,17
12342,16099,"To Democrats who doubted they would ever face him in November, Bret D. Schundler seemed a dream opponent in the New Jersey governor's race. An abortion foe, a friend to gun owners, regarded as a fearsome threat even by some Republicans, he looked simply unelectable in a state where the political center is a mile wide.",20
19561,25326,"The prisoner, from Syria, had come to Iraq to kill coalition troops. Inside Abu Ghraib jail last November, he took aim at American soldiers, using a handgun smuggled in by an Iraqi police officer. The Americans quickly shot him and started searching cells for weapons, rounding up 11 Iraqi police officers. Then, the abuses began.",17
167,286,"When the Assembly voted on a bill recently that would strengthen the hand of New York City police officers in contract disputes, a group of burly men sat stiffly in the back of the chamber, taking down the names of the wayward. They said little, but everyone knew who they were: the leaders of the Patrolmen's Benevolent Association, a union that often seems to work the State Capitol like a legislative battering ram.",10
16043,20778,President Bush offered a sweeping denunciation of direct preferences for racial minorities in university admissions today and said his administration would file a brief with the Supreme Court urging that the affirmative action admissions policies at the University of Michigan be declared unconstitutional.,1
8881,11420,"It was the demise of affirmative action that got Daniel Garza, the son of an immigrant construction worker, into one of the best public universities in the nation.",1
13899,18010,"The Justice Department has blocked the departures of 87 foreign detainees who had been ordered deported or had agreed to go home, while investigators comb through information pouring in from overseas to ensure that they have no ties to terrorism, law enforcement officials say.",14
25832,7789,"The two companies are so intertwined, so seemingly mutually dependent for their extraordinary success that the Microsoft Corporation and the Intel Corporation are often referred to as a single entity -- ''Wintel'' -- in recognition of the degree to which Microsoft's Windows operating system and Intel's microprocessors dominate the technology of personal computing.",13
4369,5882,"The financially pressed South Korean Government is attempting on its own to secure as much as $35 billion in new financing, according to American commercial and investment bankers.",17
25258,2371,"Dr. Robson Bonnichsen, director of the Center for the Study of the First Americans at Oregon State University in Corvallis, was excavating a 10,000-year-old archeological site in Montana several years ago when his team discovered that the area was littered with ancient human hairs. The archeologists realized with excitement that the hairs' DNA content could be studied for clues about the origins of the prehistoric people who once lived there.",15
18621,24189,"Anyone who has not been shocked by the rapid climb in retail gasoline prices, to record levels in some cities, may want to prepare for what is to come. The fear of disruptions in oil supplies and stricter environmental regulations are expected to push prices at the gas pump even higher this spring and summer.",7
9735,12567,"President Alberto K. Fujimori today fell just short of reaching a first-round victory in his re-election bid, meaning that a runoff will be held by early June, a surprise development that elated the opposition.",17
15600,20076,"John Allen Muhammad was known to friends for his crushing handshake, his deft touch in repairing fast cars -- and his temper.",10
13577,17590,"He bounded through City Hall as if it were his living room, singing ''what a wonderful tow-w-n,'' while trailed by silent bodyguards. They stopped shadowing him only when he reached his corner office, a sanctuary where the most telling additions to the décor were the most recent: cardboard moving boxes stacked in the corner.",20
18612,24179,"Hal Sirowitz is one of those rare New York writers who is willing -- eager, in fact -- to identify himself with the borough of Queens. A tall man with a shambling gait, scraggly beard and thick glasses, he has made a career of turning outer-borough alienation into deadpan humor.",20
11142,14621,"To many people whose lives crossed his, Michael Morgan McDermott seemed as fuzzy as the great bushy beard that hid his face, a quiet giant who would wait at the checkout stand of his local convenience store so silently and patiently that the clerk would often jump, she said, when she looked up to find him there.",10
29107,5171,"While New York City's only public school for girls, now in its second year, struggles to fend off a legal challenge, the State of California has begun the nation's most ambitious experiment in single-sex education, a pilot program encouraging school districts to make separate but equal boys' and girls' ''academies'' an option for middle and high school students.",5
25009,1042,"In a gesture worthy of an old-style Broadway melodrama, Julie Andrews, the star of ""Victor/Victoria,"" announced yesterday that she was withdrawing from consideration for the best-actress Tony Award, in protest of what she viewed as the humiliating snub the musical had received in earning just a single Tony nomination.",20
17938,23357,"When Citibank was casting around for a brand name speaker at its annual retreat here, the bank spurned the usual Western investors. Instead, Citibank chose the Chinese ambassador, Lu Shumin, one of a new generation of diplomats from Beijing who speak flawless English and play a mean game of golf.",17
10219,13386,"John C. Danforth, the special counsel investigating the 1993 tear-gas assault by federal agents on the Branch Davidian compound, today issued a sweeping report that cleared Attorney General Janet Reno and the government of any wrongdoing in the deadly episode.",10
18885,24505,"The man who would be president takes peanut butter and jelly sandwiches -- on whole wheat, strawberry jelly preferred to grape -- twice a day on the campaign trail. He wears $15 reading glasses, off the rack at CVS. Before bedtime, he starts but rarely finishes movies like ''Seabiscuit'' and ''The Blues Brothers'' in his hotel suite. Come morning, he leaves $20 for the maid.",18
10556,13853,Governors from Western states that have been devastated by wildfires this summer strongly endorsed a Clinton administration firefighting plan today that would place a new emphasis on prevention and local decision-making.,19
24185,30383,"WASHINGTON, Sept. 27 - Six weeks before Election Day, the Democrats suddenly face a map with unexpected opportunities in their battle for control of the Senate.",18
26737,13213,The House passed a bill that would give doctors an exemption from antitrust laws so they could bargain collectively with insurance companies over fees and other issues. Page A22.,2
22844,28810,"SLIDELL, La., Feb. 6 - Nearly six months after two hurricanes ripped apart communities across the Gulf Coast, tens of thousands of residents remain without trailers promised by the federal government for use as temporary shelter while they rebuild.",13
30581,22540,,20
26332,11559,"Bill Bradley canceled an afternoon of campaign events today and went to a hospital in Northern California after suffering a bout of irregular heart beats, his aides said.",18
28587,30434,"WASHINGTON, Oct. 4 — A former Congressional aide said Wednesday that Speaker J. Dennis Hastert’s office knew about reports of “inappropriate behavior” by Representative Mark Foley far earlier than Mr. Hastert’s office has acknowledged.",18
3257,4521,"In the first comprehensive audit of Medicare, Federal investigators said today that the Government overpaid hospitals, doctors and other health care providers last year by $23 billion, or 14 percent of the money spent in the standard Medicare program.",2
8249,10551,"President Clinton will send Federal officials to all the states to investigate whether they have improperly excluded people from Medicaid or from a new Federal health insurance program for children, White House officials said today. At the same time he will try to get schools across the country to help arrange health coverage for millions of uninsured children.",2
14780,19051,"Something momentous is happening here, they say, something that will transform upstate New York like nothing since the glaciers, or at least the Erie Canal. It will do more than simply enrich the region, they say; it will change the very way that people think -- about their environment, about themselves.",12
16818,21781,"Iraqi citizens will be required to turn over automatic weapons and heavy weapons under a proclamation that allied authorities plan to issue this week, allied officials said today.",14
15591,20067,This is Barry Bonds's World Series. He commands attention as perhaps no other player has ever done.,20
27934,22247,"Kurt Sanger is only a captain and so he will leave to higher-ups the question of whether Romania would make a good ally as the United States sets about a historic reordering of its military, relying less on its old friends in Western Europe and more on new ones in the east. He does, however, have some thoughts about Romania as a place where American soldiers like him may find a new home, perhaps soon.",14
19474,25209,"Prime Minister Ayad Allawi, reinforcing his reputation as a man ready to deal harshly with his adversaries, flew into the embattled city of Najaf on Sunday and said that there would be ''no negotiations or truce'' that would spare rebel fighters from American and Iraqi forces who have been waging a violent contest for control of the city's heart.",17
13916,18028,"In an audacious attack on a West Bank outpost on Tuesday night, Palestinian gunmen killed six Israeli soldiers and then escaped, stunning an army that had already been reeling from the deaths of seven soldiers since Thursday.",17
19625,25395,"DARIEN, Ill. - Students are returning to classes across the nation amid a cacophony of contradictory messages about the quality of their education, as thousands of schools with vaunted reputations have been rated in recent weeks as low-performing under a federal law.",5
14907,19190,"French scientists digging in Central Africa have uncovered a skull, virtually complete and almost seven million years old, that belonged to an individual about the size of a chimpanzee. It is, they say, the earliest known member of the human family, by perhaps as much as a million years.",15
5344,7024,"Congress overwhelmingly approved today the largest public works program in the nation's history, voting to spend more than $200 billion over the next six years for roads, bridges, buses, subways, ferries and even parking garages in virtually every Congressional district.",9
24851,390,"A double-decker bus exploded in the center of London's theater district late Sunday night, sending glass and metal debris flying, killing one person and injuring at least seven others, the authorities said.",17
30070,16798,Stocks plunged as investors grew fearful that the economy is falling into a recession in the wake of last Tuesday's attacks.,0
4655,6182,"Prosecutors investigating President Clinton's relationship with a former White House intern have subpoenaed members of the Secret Service, setting up a new confrontation with the Whitewater independent counsel over the Clinton Administration's desire to restrict the testimony of close aides and the Secret Service.",18
10375,13610,"Stacy Dragila was always a bit of a daredevil. She competed on the high school rodeo circuit in Northern California and, entering junior college in 1992, became intrigued by the risk and the airborne gymnastics of the pole vault. It was a relatively new event for women, however, and the first male pole-vaulter she consulted suggested she could not clear the gender bar.",1
12667,16547,"More than 10 months after two Arabic-speaking suicide bombers attacked the destroyer Cole in Aden, killing 17 American sailors, an F.B.I. investigation has virtually ground to a halt because Yemen has refused repeated American requests to widen the inquiry to include Islamic militant groups in Yemen.",17
